CodigoVariable;Fecha;CodigoDuracion;UnidadMedida;CodigoPlanta;Configuracion;Valor
POF_Declarado;18/04/2025;PT1D;COP/kWh;ESMR;0;103.76
POF_Declarado;18/04/2025;PT1D;COP/kWh;TDR1;0;2306.46
POF_Declarado;18/04/2025;PT1D;COP/kWh;URA1;0;250
POF_Declarado;18/04/2025;PT1D;COP/kWh;CLMG;0;920
POF_Declarado;18/04/2025;PT1D;COP/kWh;TFL4;4;1534.69
POF_Declarado;18/04/2025;PT1D;COP/kWh;TFL4;3;1187.26
POF_Declarado;18/04/2025;PT1D;COP/kWh;TFL4;2;1165.88
POF_Declarado;18/04/2025;PT1D;COP/kWh;TFL4;1;1298.41
POF_Declarado;18/04/2025;PT1D;COP/kWh;2QEK;0;106
POF_Declarado;18/04/2025;PT1D;COP/kWh;3IQA;0;86.03
POF_Declarado;18/04/2025;PT1D;COP/kWh;3IZ6;0;88
POF_Declarado;18/04/2025;PT1D;COP/kWh;ZPA4;0;357
POF_Declarado;18/04/2025;PT1D;COP/kWh;TYP4;0;94
POF_Declarado;18/04/2025;PT1D;COP/kWh;TYP2;0;950
POF_Declarado;18/04/2025;PT1D;COP/kWh;ZPA5;0;337
POF_Declarado;18/04/2025;PT1D;COP/kWh;SNFR;0;103.76
POF_Declarado;18/04/2025;PT1D;COP/kWh;GEC3;0;264.86
POF_Declarado;18/04/2025;PT1D;COP/kWh;CHVR;0;97.24
POF_Declarado;18/04/2025;PT1D;COP/kWh;3ENA;0;881.91
POF_Declarado;18/04/2025;PT1D;COP/kWh;GYPO;0;100
POF_Declarado;18/04/2025;PT1D;COP/kWh;TYP3;0;94
POF_Declarado;18/04/2025;PT1D;COP/kWh;TVL1;2;1184.54
POF_Declarado;18/04/2025;PT1D;COP/kWh;TVL1;4;1300
POF_Declarado;18/04/2025;PT1D;COP/kWh;TVL1;1;1185.54
POF_Declarado;18/04/2025;PT1D;COP/kWh;TVL1;3;1200
POF_Declarado;18/04/2025;PT1D;COP/kWh;PGUG;0;97.24
POF_Declarado;18/04/2025;PT1D;COP/kWh;TSJ1;0;303
POF_Declarado;18/04/2025;PT1D;COP/kWh;TBST;1;1914.59
POF_Declarado;18/04/2025;PT1D;COP/kWh;TBST;3;2156.38
POF_Declarado;18/04/2025;PT1D;COP/kWh;TBST;8;1868.28
POF_Declarado;18/04/2025;PT1D;COP/kWh;TBST;4;930.47
POF_Declarado;18/04/2025;PT1D;COP/kWh;TBST;7;831.34
POF_Declarado;18/04/2025;PT1D;COP/kWh;TBST;9;1010.45
POF_Declarado;18/04/2025;PT1D;COP/kWh;TBST;5;2001.14
POF_Declarado;18/04/2025;PT1D;COP/kWh;TBST;10;842.37
POF_Declarado;18/04/2025;PT1D;COP/kWh;TBST;6;989.61
POF_Declarado;18/04/2025;PT1D;COP/kWh;TBST;2;905.35
POF_Declarado;18/04/2025;PT1D;COP/kWh;CTG3;0;1463.35
POF_Declarado;18/04/2025;PT1D;COP/kWh;SNCR;0;210
POF_Declarado;18/04/2025;PT1D;COP/kWh;CTG2;0;1630.04
POF_Declarado;18/04/2025;PT1D;COP/kWh;PRC3;0;240
POF_Declarado;18/04/2025;PT1D;COP/kWh;GE32;0;281.56
