FechaHora,daily_eq_demand
2025-04-01 00:00:00,8634480
2025-04-01 01:00:00,8343930
2025-04-01 02:00:00,8149800
2025-04-01 03:00:00,8060810
2025-04-01 04:00:00,8231010
2025-04-01 05:00:00,8655700
2025-04-01 06:00:00,8766300
2025-04-01 07:00:00,9093660
2025-04-01 08:00:00,9363650
2025-04-01 09:00:00,9588540
2025-04-01 10:00:00,9889610
2025-04-01 11:00:00,10101590
2025-04-01 12:00:00,10061790
2025-04-01 13:00:00,10215320
2025-04-01 14:00:00,10503340
2025-04-01 15:00:00,10572390
2025-04-01 16:00:00,10499700
2025-04-01 17:00:00,10333620
2025-04-01 18:00:00,11255940
2025-04-01 19:00:00,11421230
2025-04-01 20:00:00,11248340
2025-04-01 21:00:00,10274730
2025-04-01 22:00:00,9641690
2025-04-01 23:00:00,9039990
2025-04-02 00:00:00,8602350
2025-04-02 01:00:00,8334300
2025-04-02 02:00:00,8136070
2025-04-02 03:00:00,8057530
2025-04-02 04:00:00,8217760
2025-04-02 05:00:00,8664010
2025-04-02 06:00:00,8745420
2025-04-02 07:00:00,9060860
2025-04-02 08:00:00,9331640
2025-04-02 09:00:00,9570080
2025-04-02 10:00:00,9850680
2025-04-02 11:00:00,10099430
2025-04-02 12:00:00,10075430
2025-04-02 13:00:00,10218240
2025-04-02 14:00:00,10485820
2025-04-02 15:00:00,10572180
2025-04-02 16:00:00,10435370
2025-04-02 17:00:00,10241760
2025-04-02 18:00:00,11238100
2025-04-02 19:00:00,11406010
2025-04-02 20:00:00,11200580
2025-04-02 21:00:00,10268310
2025-04-02 22:00:00,9646640
2025-04-02 23:00:00,9060360
2025-04-03 00:00:00,8555720
2025-04-03 01:00:00,8269450
2025-04-03 02:00:00,8082830
2025-04-03 03:00:00,7979070
2025-04-03 04:00:00,8162490
2025-04-03 05:00:00,8595310
2025-04-03 06:00:00,8714990
2025-04-03 07:00:00,9069350
2025-04-03 08:00:00,9341180
2025-04-03 09:00:00,9559420
2025-04-03 10:00:00,9813360
2025-04-03 11:00:00,10067400
2025-04-03 12:00:00,9980520
2025-04-03 13:00:00,10119560
2025-04-03 14:00:00,10374690
2025-04-03 15:00:00,10449240
2025-04-03 16:00:00,10428410
2025-04-03 17:00:00,10270510
2025-04-03 18:00:00,11201970
2025-04-03 19:00:00,11350740
2025-04-03 20:00:00,11175280
2025-04-03 21:00:00,10263040
2025-04-03 22:00:00,9638400
2025-04-03 23:00:00,9036000
2025-04-04 00:00:00,8498910
2025-04-04 01:00:00,8209820
2025-04-04 02:00:00,7982070
2025-04-04 03:00:00,7880020
2025-04-04 04:00:00,8046890
2025-04-04 05:00:00,8456960
2025-04-04 06:00:00,8581370
2025-04-04 07:00:00,8959400
2025-04-04 08:00:00,9242950
2025-04-04 09:00:00,9443740
2025-04-04 10:00:00,9736680
2025-04-04 11:00:00,10004490
2025-04-04 12:00:00,9911420
2025-04-04 13:00:00,10010000
2025-04-04 14:00:00,10278590
2025-04-04 15:00:00,10390870
2025-04-04 16:00:00,10287050
2025-04-04 17:00:00,10101790
2025-04-04 18:00:00,11013400
2025-04-04 19:00:00,11160940
2025-04-04 20:00:00,11026320
2025-04-04 21:00:00,10130110
2025-04-04 22:00:00,9590400
2025-04-04 23:00:00,9037810
2025-04-05 00:00:00,8501200
2025-04-05 01:00:00,8212220
2025-04-05 02:00:00,7981540
2025-04-05 03:00:00,7854430
2025-04-05 04:00:00,7863080
2025-04-05 05:00:00,7989060
2025-04-05 06:00:00,8107570
2025-04-05 07:00:00,8534070
2025-04-05 08:00:00,8872530
2025-04-05 09:00:00,9133490
2025-04-05 10:00:00,9364600
2025-04-05 11:00:00,9536260
2025-04-05 12:00:00,9471850
2025-04-05 13:00:00,9446950
2025-04-05 14:00:00,9455980
2025-04-05 15:00:00,9438810
2025-04-05 16:00:00,9422650
2025-04-05 17:00:00,9471660
2025-04-05 18:00:00,10425730
2025-04-05 19:00:00,10518750
2025-04-05 20:00:00,10328930
2025-04-05 21:00:00,9494150
2025-04-05 22:00:00,9054340
2025-04-05 23:00:00,8570670
2025-04-06 00:00:00,8188330
2025-04-06 01:00:00,7893970
2025-04-06 02:00:00,7661090
2025-04-06 03:00:00,7491450
2025-04-06 04:00:00,7370340
2025-04-06 05:00:00,7315320
2025-04-06 06:00:00,7136070
2025-04-06 07:00:00,7359500
2025-04-06 08:00:00,7545990
2025-04-06 09:00:00,7697390
2025-04-06 10:00:00,7884910
2025-04-06 11:00:00,8155360
2025-04-06 12:00:00,8347820
2025-04-06 13:00:00,8388870
2025-04-06 14:00:00,8446030
2025-04-06 15:00:00,8479550
2025-04-06 16:00:00,8541840
2025-04-06 17:00:00,8635100
2025-04-06 18:00:00,9789210
2025-04-06 19:00:00,9997890
2025-04-06 20:00:00,9936620
2025-04-06 21:00:00,9245720
2025-04-06 22:00:00,8813610
2025-04-06 23:00:00,8348290
2025-04-07 00:00:00,8157630
2025-04-07 01:00:00,7895940
2025-04-07 02:00:00,7719170
2025-04-07 03:00:00,7647420
2025-04-07 04:00:00,7825260
2025-04-07 05:00:00,8233460
2025-04-07 06:00:00,8387130
2025-04-07 07:00:00,8755580
2025-04-07 08:00:00,9110950
2025-04-07 09:00:00,9323720
2025-04-07 10:00:00,9631350
2025-04-07 11:00:00,9874250
2025-04-07 12:00:00,9894020
2025-04-07 13:00:00,10020690
2025-04-07 14:00:00,10251130
2025-04-07 15:00:00,10323740
2025-04-07 16:00:00,10319200
2025-04-07 17:00:00,10190100
2025-04-07 18:00:00,11092840
2025-04-07 19:00:00,11280890
2025-04-07 20:00:00,11129780
2025-04-07 21:00:00,10208570
2025-04-07 22:00:00,9595960
2025-04-07 23:00:00,8988940
2025-04-08 00:00:00,8434370
2025-04-08 01:00:00,8160990
2025-04-08 02:00:00,7983180
2025-04-08 03:00:00,7886160
2025-04-08 04:00:00,8053170
2025-04-08 05:00:00,8463170
2025-04-08 06:00:00,8548600
2025-04-08 07:00:00,8887920
2025-04-08 08:00:00,9178080
2025-04-08 09:00:00,9381010
2025-04-08 10:00:00,9609120
2025-04-08 11:00:00,9892690
2025-04-08 12:00:00,9858910
2025-04-08 13:00:00,10003990
2025-04-08 14:00:00,10315810
2025-04-08 15:00:00,10390410
2025-04-08 16:00:00,10379770
2025-04-08 17:00:00,10165990
2025-04-08 18:00:00,11076070
2025-04-08 19:00:00,11249450
2025-04-08 20:00:00,11115900
2025-04-08 21:00:00,10168240
2025-04-08 22:00:00,9531740
2025-04-08 23:00:00,8953940
2025-04-09 00:00:00,8480820
2025-04-09 01:00:00,8202630
2025-04-09 02:00:00,8017620
2025-04-09 03:00:00,7905750
2025-04-09 04:00:00,8060740
2025-04-09 05:00:00,8515360
2025-04-09 06:00:00,8601870
2025-04-09 07:00:00,8941120
2025-04-09 08:00:00,9198660
2025-04-09 09:00:00,9406310
2025-04-09 10:00:00,9658300
2025-04-09 11:00:00,9916920
2025-04-09 12:00:00,9874580
2025-04-09 13:00:00,9991330
2025-04-09 14:00:00,10300450
2025-04-09 15:00:00,10413800
2025-04-09 16:00:00,10358130
2025-04-09 17:00:00,10204560
2025-04-09 18:00:00,11153980
2025-04-09 19:00:00,11317140
2025-04-09 20:00:00,11096930
2025-04-09 21:00:00,10178280
2025-04-09 22:00:00,9556400
2025-04-09 23:00:00,8962980
2025-04-10 00:00:00,8527540
2025-04-10 01:00:00,8240210
2025-04-10 02:00:00,8028760
2025-04-10 03:00:00,7931750
2025-04-10 04:00:00,8114890
2025-04-10 05:00:00,8540210
2025-04-10 06:00:00,8644600
2025-04-10 07:00:00,8980870
2025-04-10 08:00:00,9292330
2025-04-10 09:00:00,9584850
2025-04-10 10:00:00,9893030
2025-04-10 11:00:00,10162860
2025-04-10 12:00:00,10081860
2025-04-10 13:00:00,10155500
2025-04-10 14:00:00,10423980
2025-04-10 15:00:00,10476370
2025-04-10 16:00:00,10375250
2025-04-10 17:00:00,10217370
2025-04-10 18:00:00,11141200
2025-04-10 19:00:00,11304640
2025-04-10 20:00:00,11167010
2025-04-10 21:00:00,10252040
2025-04-10 22:00:00,9625730
2025-04-10 23:00:00,9013940
2025-04-11 00:00:00,8579320
2025-04-11 01:00:00,8272630
2025-04-11 02:00:00,8035800
2025-04-11 03:00:00,7957400
2025-04-11 04:00:00,8099230
2025-04-11 05:00:00,8508350
2025-04-11 06:00:00,8632920
2025-04-11 07:00:00,9069510
2025-04-11 08:00:00,9382960
2025-04-11 09:00:00,9649230
2025-04-11 10:00:00,9953560
2025-04-11 11:00:00,10209740
2025-04-11 12:00:00,10124500
2025-04-11 13:00:00,10248040
2025-04-11 14:00:00,10449990
2025-04-11 15:00:00,10520160
2025-04-11 16:00:00,10425090
2025-04-11 17:00:00,10218890
2025-04-11 18:00:00,11115290
2025-04-11 19:00:00,11266420
2025-04-11 20:00:00,11129550
2025-04-11 21:00:00,10259600
2025-04-11 22:00:00,9668830
2025-04-11 23:00:00,9103020
2025-04-12 00:00:00,8714440
2025-04-12 01:00:00,8418760
2025-04-12 02:00:00,8179910
2025-04-12 03:00:00,8061620
2025-04-12 04:00:00,8089610
2025-04-12 05:00:00,8164480
2025-04-12 06:00:00,8288270
2025-04-12 07:00:00,8700220
2025-04-12 08:00:00,9075450
2025-04-12 09:00:00,9311710
2025-04-12 10:00:00,9556690
2025-04-12 11:00:00,9724490
2025-04-12 12:00:00,9679450
2025-04-12 13:00:00,9656310
2025-04-12 14:00:00,9647710
2025-04-12 15:00:00,9637590
2025-04-12 16:00:00,9660740
2025-04-12 17:00:00,9674240
2025-04-12 18:00:00,10601190
2025-04-12 19:00:00,10701600
2025-04-12 20:00:00,10531300
2025-04-12 21:00:00,9676700
2025-04-12 22:00:00,9204210
2025-04-12 23:00:00,8737100
2025-04-13 00:00:00,8371300
