CodigoVariable,FechaHora,CodigoDuracion,UnidadMedida,Version,Valor
PB_Int,2025-06-01 00:00:00,PT1H,COP/kWh,TX2,193.75
PB_Int,2025-06-01 01:00:00,PT1H,COP/kWh,TX2,193.75
PB_Int,2025-06-01 02:00:00,PT1H,COP/kWh,TX2,193.75
PB_Int,2025-06-01 03:00:00,PT1H,COP/kWh,TX2,193.75
PB_Int,2025-06-01 04:00:00,PT1H,COP/kWh,TX2,193.75
PB_Int,2025-06-01 05:00:00,PT1H,COP/kWh,TX2,193.75
PB_Int,2025-06-01 06:00:00,PT1H,COP/kWh,TX2,193.75
PB_Int,2025-06-01 07:00:00,PT1H,COP/kWh,TX2,193.75
PB_Int,2025-06-01 08:00:00,PT1H,COP/kWh,TX2,193.75
PB_Int,2025-06-01 09:00:00,PT1H,COP/kWh,TX2,193.75
PB_Int,2025-06-01 10:00:00,PT1H,COP/kWh,TX2,193.75
PB_Int,2025-06-01 11:00:00,PT1H,COP/kWh,TX2,193.75
PB_Int,2025-06-01 12:00:00,PT1H,COP/kWh,TX2,193.75
PB_Int,2025-06-01 13:00:00,PT1H,COP/kWh,TX2,193.75
PB_Int,2025-06-01 14:00:00,PT1H,COP/kWh,TX2,193.75
PB_Int,2025-06-01 15:00:00,PT1H,COP/kWh,TX2,193.75
PB_Int,2025-06-01 16:00:00,PT1H,COP/kWh,TX2,193.75
PB_Int,2025-06-01 17:00:00,PT1H,COP/kWh,TX2,193.76
PB_Int,2025-06-01 18:00:00,PT1H,COP/kWh,TX2,204.75
PB_Int,2025-06-01 19:00:00,PT1H,COP/kWh,TX2,204.75
PB_Int,2025-06-01 20:00:00,PT1H,COP/kWh,TX2,204.75
PB_Int,2025-06-01 21:00:00,PT1H,COP/kWh,TX2,204.75
PB_Int,2025-06-01 22:00:00,PT1H,COP/kWh,TX2,203.65
PB_Int,2025-06-01 23:00:00,PT1H,COP/kWh,TX2,197.75
PB_Nal,2025-06-01 00:00:00,PT1H,COP/kWh,TX2,110.77
PB_Nal,2025-06-01 01:00:00,PT1H,COP/kWh,TX2,110.77
PB_Nal,2025-06-01 02:00:00,PT1H,COP/kWh,TX2,110.77
PB_Nal,2025-06-01 03:00:00,PT1H,COP/kWh,TX2,110.77
PB_Nal,2025-06-01 04:00:00,PT1H,COP/kWh,TX2,110.77
PB_Nal,2025-06-01 05:00:00,PT1H,COP/kWh,TX2,110.77
