FechaPublicacion,FechaHora,CodigoDuracion,CodigoAreaOperativa,PronDem
2025-05-01,2025-04-05 00:00:00,PT1H,Are0002,1017494.3
2025-05-01,2025-04-05 01:00:00,PT1H,Are0002,975345.5
2025-05-01,2025-04-05 02:00:00,PT1H,Are0002,946246
2025-05-01,2025-04-05 03:00:00,PT1H,Are0002,937971.4
2025-05-01,2025-04-05 04:00:00,PT1H,Are0002,963633.8
2025-05-01,2025-04-05 05:00:00,PT1H,Are0002,1030892.2
2025-05-01,2025-04-05 06:00:00,PT1H,Are0002,1106007
2025-05-01,2025-04-05 07:00:00,PT1H,Are0002,1173992.4
2025-05-01,2025-04-05 08:00:00,PT1H,Are0002,1257136
2025-05-01,2025-04-05 09:00:00,PT1H,Are0002,1307574.8
2025-05-01,2025-04-05 10:00:00,PT1H,Are0002,1361103.1
2025-05-01,2025-04-05 11:00:00,PT1H,Are0002,1394993
2025-05-01,2025-04-05 12:00:00,PT1H,Are0002,1393368.6
2025-05-01,2025-04-05 13:00:00,PT1H,Are0002,1356906.5
2025-05-01,2025-04-05 14:00:00,PT1H,Are0002,1335860
2025-05-01,2025-04-05 15:00:00,PT1H,Are0002,1323003.3
2025-05-01,2025-04-05 16:00:00,PT1H,Are0002,1307157.6
2025-05-01,2025-04-05 17:00:00,PT1H,Are0002,1303577.3
2025-05-01,2025-04-05 18:00:00,PT1H,Are0002,1454469.7
2025-05-01,2025-04-05 19:00:00,PT1H,Are0002,1447578.8
2025-05-01,2025-04-05 20:00:00,PT1H,Are0002,1388144.7
2025-05-01,2025-04-05 21:00:00,PT1H,Are0002,1195213.9
2025-05-01,2025-04-05 22:00:00,PT1H,Are0002,1104748.8
2025-05-01,2025-04-05 23:00:00,PT1H,Are0002,1021604
2025-05-01,2025-04-05 12:00:00,PT1H,Are0012,1179680
2025-05-01,2025-04-05 13:00:00,PT1H,Are0012,1165478.5
2025-05-01,2025-04-05 14:00:00,PT1H,Are0012,1164588.5
2025-05-01,2025-04-05 15:00:00,PT1H,Are0012,1152176.3
2025-05-01,2025-04-05 16:00:00,PT1H,Are0012,1146207.6
2025-05-01,2025-04-05 17:00:00,PT1H,Are0012,1142434.1
2025-05-01,2025-04-05 18:00:00,PT1H,Are0012,1228770.1
2025-05-01,2025-04-05 19:00:00,PT1H,Are0012,1216965.8
2025-05-01,2025-04-05 20:00:00,PT1H,Are0012,1178754
2025-05-01,2025-04-05 21:00:00,PT1H,Are0012,1129095
2025-05-01,2025-04-05 22:00:00,PT1H,Are0012,1075239.7
2025-05-01,2025-04-05 23:00:00,PT1H,Are0012,1016018.2
2025-05-01,2025-04-05 00:00:00,PT1H,Are0012,1025960.7
2025-05-01,2025-04-05 01:00:00,PT1H,Are0012,998456.2
2025-05-01,2025-04-05 02:00:00,PT1H,Are0012,975595.3
2025-05-01,2025-04-05 03:00:00,PT1H,Are0012,957245.5
2025-05-01,2025-04-05 04:00:00,PT1H,Are0012,958905.9
2025-05-01,2025-04-05 05:00:00,PT1H,Are0012,969700.7
2025-05-01,2025-04-05 06:00:00,PT1H,Are0012,981648.3
2025-05-01,2025-04-05 07:00:00,PT1H,Are0012,1041135
2025-05-01,2025-04-05 08:00:00,PT1H,Are0012,1115178.4
2025-05-01,2025-04-05 09:00:00,PT1H,Are0012,1156971.3
2025-05-01,2025-04-05 10:00:00,PT1H,Are0012,1190233.9
2025-05-01,2025-04-05 11:00:00,PT1H,Are0012,1207109.2
2025-05-01,2025-04-05 00:00:00,PT1H,Are0056,2156116.7
2025-05-01,2025-04-05 01:00:00,PT1H,Are0056,2083809.5
2025-05-01,2025-04-05 02:00:00,PT1H,Are0056,2031746.8
2025-05-01,2025-04-05 03:00:00,PT1H,Are0056,2015010.5
2025-05-01,2025-04-05 04:00:00,PT1H,Are0056,2068198.9
2025-05-01,2025-04-05 05:00:00,PT1H,Are0056,2104733
2025-05-01,2025-04-05 06:00:00,PT1H,Are0056,2286176
2025-05-01,2025-04-05 07:00:00,PT1H,Are0056,2381091.9
2025-05-01,2025-04-05 08:00:00,PT1H,Are0056,2535434.2
2025-05-01,2025-04-05 09:00:00,PT1H,Are0056,2571024.4
2025-05-01,2025-04-05 10:00:00,PT1H,Are0056,2653068.9
2025-05-01,2025-04-05 11:00:00,PT1H,Are0056,2658995.9
2025-05-01,2025-04-05 12:00:00,PT1H,Are0056,2646391
2025-05-01,2025-04-05 13:00:00,PT1H,Are0056,2585199.8
2025-05-01,2025-04-05 14:00:00,PT1H,Are0056,2518259.2
2025-05-01,2025-04-05 15:00:00,PT1H,Are0056,2475747
2025-05-01,2025-04-05 16:00:00,PT1H,Are0056,2489824.9
2025-05-01,2025-04-05 17:00:00,PT1H,Are0056,2521206.6
2025-05-01,2025-04-05 18:00:00,PT1H,Are0056,2639066.5
2025-05-01,2025-04-05 19:00:00,PT1H,Are0056,2648329.5
2025-05-01,2025-04-05 20:00:00,PT1H,Are0056,2590513
2025-05-01,2025-04-05 21:00:00,PT1H,Are0056,2415348.7
2025-05-01,2025-04-05 22:00:00,PT1H,Are0056,2254385.5
2025-05-01,2025-04-05 23:00:00,PT1H,Are0056,2112372
