FechaPublicacion,Fecha,CodigoDuracion,CodigoEmbalse,RegionHidrologica,VolumenUtilDiarioMasa,VolumenTotalMasa
2025-06-29,2025-06-28,P1D,ALTOANCH,Valle,11200000,17520000
2025-06-29,2025-06-28,P1D,ITUANGO,Antioquia,116260000,1415260000
2025-06-29,2025-06-28,P1D,PUNCHINA,Antioquia,42210000,56190000
2025-06-29,2025-06-28,P1D,PORCE3,Antioquia,79080000,108530000
2025-06-29,2025-06-28,P1D,BETANIA,Centro,673527000,1129027000
2025-06-29,2025-06-28,P1D,CALIMA1,Valle,352350000,456710000
2025-06-29,2025-06-28,P1D,MIEL1,Caldas,353970000,400250000
2025-06-29,2025-06-28,P1D,URRA1,Caribe,1086920000,1440930000
2025-06-29,2025-06-28,P1D,ESMERALD,Oriente,544379000,565089000
2025-06-29,2025-06-28,P1D,SOGAMOSO,Centro,2623280000,3187910000
2025-06-29,2025-06-28,P1D,SANLOREN,Antioquia,149580000,166440000
2025-06-29,2025-06-28,P1D,SISGA,CENTRO,82329000,82329000
2025-06-29,2025-06-28,P1D,RIOGRAN2,Antioquia,139800000,187440000
2025-06-29,2025-06-28,P1D,SALVAJIN,Valle,833300000,924750000
2025-06-29,2025-06-28,P1D,CHUZA,Oriente,173096000,183416000
2025-06-29,2025-06-28,P1D,TRONERAS,Antioquia,17140000,25590000
2025-06-29,2025-06-28,P1D,PENOL,Antioquia,987530000,1065370000
2025-06-29,2025-06-28,P1D,MUNA,Centro,11560000,11640000
2025-06-29,2025-06-28,P1D,TOMINE,CENTRO,323871000,323871000
2025-06-29,2025-06-28,P1D,ELQUIMBO,Centro,2221066000,2685886000
2025-06-29,2025-06-28,P1D,PORCE2,Antioquia,41560000,80350000
2025-06-29,2025-06-28,P1D,NEUSA,CENTRO,95873000,95873100
2025-06-29,2025-06-28,P1D,AGREGADO,Centro,502073000,502073100
2025-06-29,2025-06-28,P1D,GUAVIO,Oriente,512250000,755010000
2025-06-29,2025-06-28,P1D,PRADO,Centro,484030000,814820000
2025-06-29,2025-06-28,P1D,PLAYAS,Antioquia,39960000,59530000
2025-06-29,2025-06-28,P1D,MIRAFLOR,Antioquia,31850000,37170000
2025-04-09,2025-04-08,P1D,ITUANGO,Antioquia,96710000,1395710000
2025-04-09,2025-04-08,P1D,MIEL1,Caldas,400490000,446770000
2025-04-09,2025-04-08,P1D,PORCE3,Antioquia,85060000,114510000
2025-04-09,2025-04-08,P1D,PUNCHINA,Antioquia,21460000,35380000
2025-04-09,2025-04-08,P1D,BETANIA,Centro,623746000,1079246000
2025-04-09,2025-04-08,P1D,URRA1,Caribe,775400000,1129410000
2025-04-09,2025-04-08,P1D,SANLOREN,Antioquia,82970000,99830000
2025-04-09,2025-04-08,P1D,CALIMA1,Valle,221550000,325910000
2025-04-09,2025-04-08,P1D,SALVAJIN,Valle,305120000,396570000
2025-04-09,2025-04-08,P1D,ESMERALD,Oriente,188432000,209142000
2025-04-09,2025-04-08,P1D,SOGAMOSO,Centro,1475220000,2039850000
2025-04-09,2025-04-08,P1D,SISGA,CENTRO,50631000,50631000
2025-04-09,2025-04-08,P1D,TOMINE,CENTRO,280960000,280960000
2025-04-09,2025-04-08,P1D,TRONERAS,Antioquia,10490000,18940000
2025-04-09,2025-04-08,P1D,MUNA,Centro,11212000,11292000
2025-04-09,2025-04-08,P1D,AGREGADO,Centro,418111000,418111100
2025-04-09,2025-04-08,P1D,PORCE2,Antioquia,55620000,94410000
2025-04-09,2025-04-08,P1D,NEUSA,CENTRO,86520000,86520100
2025-04-09,2025-04-08,P1D,PRADO,Centro,407920000,738710000
2025-04-09,2025-04-08,P1D,PLAYAS,Antioquia,51320000,70890000
2025-04-09,2025-04-08,P1D,ALTOANCH,Valle,17400000,23720000
2025-04-09,2025-04-08,P1D,RIOGRAN2,Antioquia,72050000,119690000
2025-04-09,2025-04-08,P1D,ELQUIMBO,Centro,1598738000,2063558000
2025-04-09,2025-04-08,P1D,GUAVIO,Oriente,210647000,453407000
2025-04-09,2025-04-08,P1D,CHUZA,Oriente,74164000,84484000
2025-04-09,2025-04-08,P1D,PENOL,Antioquia,643030000,720870000
2025-04-09,2025-04-08,P1D,MIRAFLOR,Antioquia,2660000,7980000
2025-08-01,2025-07-31,P1D,ALTOANCH,Valle,6090000,12410000
2025-08-01,2025-07-31,P1D,ITUANGO,Antioquia,41960000,1336910000
2025-08-01,2025-07-31,P1D,ESMERALD,Oriente,501870000,522580000
2025-08-01,2025-07-31,P1D,SOGAMOSO,Centro,2461190000,3025820000
2025-08-01,2025-07-31,P1D,PORCE3,Antioquia,93800000,130030000
2025-08-01,2025-07-31,P1D,RIOGRAN2,Antioquia,134700000,181430000
2025-08-01,2025-07-31,P1D,MUNA,Centro,4540000,4620000
2025-08-01,2025-07-31,P1D,PRADO,Centro,416570000,744390000
2025-08-01,2025-07-31,P1D,MIRAFLOR,Antioquia,47380000,53110000
2025-08-01,2025-07-31,P1D,PUNCHINA,Antioquia,24290000,38270000
2025-08-01,2025-07-31,P1D,BETANIA,Centro,549950000,1005450000
2025-08-01,2025-07-31,P1D,URRA1,Caribe,936870000,1290880000
2025-08-01,2025-07-31,P1D,SANLOREN,Antioquia,141870000,158730000
2025-08-01,2025-07-31,P1D,CALIMA1,Valle,373800000,478160000
2025-08-01,2025-07-31,P1D,SALVAJIN,Valle,592730000,684180000
2025-08-01,2025-07-31,P1D,CHUZA,Oriente,198790000,209110000
2025-08-01,2025-07-31,P1D,SISGA,CENTRO,92280000,92280000
2025-08-01,2025-07-31,P1D,PENOL,Antioquia,941480000,1018360000
2025-08-01,2025-07-31,P1D,TRONERAS,Antioquia,19490000,26870000
2025-08-01,2025-07-31,P1D,AGREGADO,Centro,572840000,572840100
2025-08-01,2025-07-31,P1D,ELQUIMBO,Centro,2211010000,2675830000
2025-08-01,2025-07-31,P1D,PORCE2,Antioquia,66570000,96750000
2025-08-01,2025-07-31,P1D,NEUSA,CENTRO,97350000,97350100
2025-08-01,2025-07-31,P1D,GUAVIO,Oriente,504580000,747340000
2025-08-01,2025-07-31,P1D,PLAYAS,Antioquia,51750000,69790000
2025-08-01,2025-07-31,P1D,MIEL1,Caldas,326990000,373270000
2025-08-01,2025-07-31,P1D,TOMINE,CENTRO,383210000,383210000
2025-08-07,2025-08-06,P1D,ALTOANCH,Valle,8490000,14810000
2025-08-07,2025-08-06,P1D,PORCE3,Antioquia,107010000,136460000
2025-08-07,2025-08-06,P1D,BETANIA,Centro,647160000,1102660000
2025-08-07,2025-08-06,P1D,URRA1,Caribe,890520000,1244530000
2025-08-07,2025-08-06,P1D,SANLOREN,Antioquia,145000000,161860000
2025-08-07,2025-08-06,P1D,SALVAJIN,Valle,571880000,663330000
2025-08-07,2025-08-06,P1D,RIOGRAN2,Antioquia,128790000,176430000
2025-08-07,2025-08-06,P1D,AGREGADO,Centro,577650000,577650100
2025-08-07,2025-08-06,P1D,GUAVIO,Oriente,512520000,755280000
2025-08-07,2025-08-06,P1D,PLAYAS,Antioquia,51570000,71140000
2025-08-07,2025-08-06,P1D,ESMERALD,Oriente,520650000,541360000
2025-08-07,2025-08-06,P1D,SOGAMOSO,Centro,2498290000,3062920000
2025-08-07,2025-08-06,P1D,PENOL,Antioquia,928650000,1006490000
2025-08-07,2025-08-06,P1D,MUNA,Centro,4600000,4680000
2025-08-07,2025-08-06,P1D,ELQUIMBO,Centro,2227440000,2692260000
2025-08-07,2025-08-06,P1D,NEUSA,CENTRO,97250000,97250100
2025-08-07,2025-08-06,P1D,ITUANGO,Antioquia,22250000,1321250000
2025-08-07,2025-08-06,P1D,MIEL1,Caldas,319000000,365280000
2025-08-07,2025-08-06,P1D,PUNCHINA,Antioquia,27260000,41240000
2025-08-07,2025-08-06,P1D,CALIMA1,Valle,374010000,478370000
2025-08-07,2025-08-06,P1D,CHUZA,Oriente,199360000,209680000
2025-08-07,2025-08-06,P1D,SISGA,CENTRO,92280000,92280000
2025-08-07,2025-08-06,P1D,TOMINE,CENTRO,388120000,388120000
2025-08-07,2025-08-06,P1D,TRONERAS,Antioquia,11390000,19840000
2025-08-07,2025-08-06,P1D,PORCE2,Antioquia,57960000,96750000
2025-08-07,2025-08-06,P1D,PRADO,Centro,386850000,714670000
2025-08-07,2025-08-06,P1D,MIRAFLOR,Antioquia,53780000,59100000
2025-04-18,2025-04-17,P1D,MIEL1,Caldas,349080000,395360000
2025-04-18,2025-04-17,P1D,PORCE3,Antioquia,84800000,114250000
2025-04-18,2025-04-17,P1D,PUNCHINA,Antioquia,15800000,29720000
2025-04-18,2025-04-17,P1D,BETANIA,Centro,551169000,1006669000
2025-04-18,2025-04-17,P1D,CALIMA1,Valle,236500000,340860000
2025-04-18,2025-04-17,P1D,ESMERALD,Oriente,183336000,204046000
2025-04-18,2025-04-17,P1D,SOGAMOSO,Centro,1503730000,2068360000
2025-04-18,2025-04-17,P1D,CHUZA,Oriente,80456000,90776000
2025-04-18,2025-04-17,P1D,SISGA,CENTRO,50828000,50828000
2025-04-18,2025-04-17,P1D,PENOL,Antioquia,688160000,766000000
2025-04-18,2025-04-17,P1D,TOMINE,CENTRO,277238000,277238000
2025-04-18,2025-04-17,P1D,TRONERAS,Antioquia,17410000,25860000
2025-04-18,2025-04-17,P1D,MUNA,Centro,10727000,10807000
2025-04-18,2025-04-17,P1D,AGREGADO,Centro,417421000,417421100
2025-04-18,2025-04-17,P1D,ELQUIMBO,Centro,1591513000,2056333000
2025-04-18,2025-04-17,P1D,NEUSA,CENTRO,89355000,89355100
2025-04-18,2025-04-17,P1D,GUAVIO,Oriente,250030000,492790000
2025-04-18,2025-04-17,P1D,PLAYAS,Antioquia,52030000,71600000
2025-04-18,2025-04-17,P1D,MIRAFLOR,Antioquia,7210000,12530000
2025-04-18,2025-04-17,P1D,ALTOANCH,Valle,5820000,12140000
2025-04-18,2025-04-17,P1D,ITUANGO,Antioquia,117180000,1416180000
2025-04-18,2025-04-17,P1D,URRA1,Caribe,783460000,1137470000
2025-04-18,2025-04-17,P1D,SANLOREN,Antioquia,90060000,106920000
2025-04-18,2025-04-17,P1D,SALVAJIN,Valle,363850000,455300000
2025-04-18,2025-04-17,P1D,RIOGRAN2,Antioquia,93950000,141590000
2025-04-18,2025-04-17,P1D,PORCE2,Antioquia,53630000,92420000
2025-04-18,2025-04-17,P1D,PRADO,Centro,430390000,761180000
2025-08-17,2025-08-16,P1D,ALTOANCH,Valle,6430000,12750000
2025-08-17,2025-08-16,P1D,ITUANGO,Antioquia,69780000,1368780000
2025-08-17,2025-08-16,P1D,MIEL1,Caldas,312680000,358960000
2025-08-17,2025-08-16,P1D,PORCE3,Antioquia,99610000,129060000
2025-08-17,2025-08-16,P1D,PUNCHINA,Antioquia,11660000,25640000
2025-08-17,2025-08-16,P1D,BETANIA,Centro,564020000,1019520000
2025-08-17,2025-08-16,P1D,URRA1,Caribe,902280000,1256290000
2025-08-17,2025-08-16,P1D,SANLOREN,Antioquia,139180000,156040000
2025-08-17,2025-08-16,P1D,CALIMA1,Valle,372970000,477330000
2025-08-17,2025-08-16,P1D,SALVAJIN,Valle,546430000,637880000
2025-08-17,2025-08-16,P1D,ESMERALD,Oriente,537000000,557710000
2025-08-17,2025-08-16,P1D,SOGAMOSO,Centro,2596550000,3161180000
2025-08-17,2025-08-16,P1D,CHUZA,Oriente,195830000,206150000
2025-08-17,2025-08-16,P1D,SISGA,CENTRO,92280000,92280000
2025-08-17,2025-08-16,P1D,RIOGRAN2,Antioquia,132900000,180540000
2025-08-17,2025-08-16,P1D,TRONERAS,Antioquia,8030000,16480000
2025-08-17,2025-08-16,P1D,MUNA,Centro,5230000,5310000
2025-08-17,2025-08-16,P1D,AGREGADO,Centro,585380000,585380100
2025-08-17,2025-08-16,P1D,ELQUIMBO,Centro,2177510000,2642330000
2025-08-17,2025-08-16,P1D,PORCE2,Antioquia,72670000,111460000
2025-08-17,2025-08-16,P1D,NEUSA,CENTRO,97710000,97710100
2025-08-17,2025-08-16,P1D,GUAVIO,Oriente,495260000,738020000
2025-08-17,2025-08-16,P1D,PRADO,Centro,339210000,667030000
2025-08-17,2025-08-16,P1D,MIRAFLOR,Antioquia,60000000,65320000
2025-08-17,2025-08-16,P1D,PLAYAS,Antioquia,49780000,69350000
2025-08-17,2025-08-16,P1D,PENOL,Antioquia,940940000,1018780000
2025-08-17,2025-08-16,P1D,TOMINE,CENTRO,395390000,395390000
2025-07-17,2025-07-16,P1D,ALTOANCH,Valle,11790000,18110000
2025-07-17,2025-07-16,P1D,SANLOREN,Antioquia,133000000,149860000
2025-07-17,2025-07-16,P1D,CALIMA1,Valle,367010000,471370000
2025-07-17,2025-07-16,P1D,SISGA,CENTRO,90171000,90171000
2025-07-17,2025-07-16,P1D,RIOGRAN2,Antioquia,132890000,180530000
2025-07-17,2025-07-16,P1D,TOMINE,CENTRO,352643000,352643000
2025-07-17,2025-07-16,P1D,NEUSA,CENTRO,96792000,96792100
2025-07-17,2025-07-16,P1D,GUAVIO,Oriente,510525000,753285000
2025-07-17,2025-07-16,P1D,ITUANGO,Antioquia,82900000,1381900000
2025-07-17,2025-07-16,P1D,MIEL1,Caldas,324140000,370420000
2025-07-17,2025-07-16,P1D,PORCE3,Antioquia,77270000,106720000
2025-07-17,2025-07-16,P1D,PUNCHINA,Antioquia,28880000,42860000
2025-07-17,2025-07-16,P1D,BETANIA,Centro,656811000,1112311000
2025-07-17,2025-07-16,P1D,URRA1,Caribe,1182250000,1536260000
2025-07-17,2025-07-16,P1D,SALVAJIN,Valle,652030000,743480000
2025-07-17,2025-07-16,P1D,CHUZA,Oriente,190980000,201300000
2025-07-17,2025-07-16,P1D,PENOL,Antioquia,967660000,1045500000
2025-07-17,2025-07-16,P1D,MUNA,Centro,11421000,11501000
2025-07-17,2025-07-16,P1D,AGREGADO,Centro,539606000,539606100
2025-07-17,2025-07-16,P1D,ELQUIMBO,Centro,2143815000,2608635000
2025-07-17,2025-07-16,P1D,PORCE2,Antioquia,69040000,107830000
2025-07-17,2025-07-16,P1D,PLAYAS,Antioquia,51630000,71200000
2025-07-17,2025-07-16,P1D,MIRAFLOR,Antioquia,40170000,45490000
2025-07-17,2025-07-16,P1D,ESMERALD,Oriente,547733000,568443000
2025-07-17,2025-07-16,P1D,SOGAMOSO,Centro,2602670000,3167300000
2025-07-17,2025-07-16,P1D,TRONERAS,Antioquia,10630000,19080000
2025-07-17,2025-07-16,P1D,PRADO,Centro,451070000,778890000
2025-05-25,2025-05-24,P1D,PORCE3,Antioquia,89280000,118730000
2025-05-25,2025-05-24,P1D,SANLOREN,Antioquia,143850000,160710000
2025-05-25,2025-05-24,P1D,CALIMA1,Valle,306460000,410820000
2025-05-25,2025-05-24,P1D,CHUZA,Oriente,119157000,129477000
2025-05-25,2025-05-24,P1D,SISGA,CENTRO,62076000,62076000
2025-05-25,2025-05-24,P1D,RIOGRAN2,Antioquia,142480000,190120000
2025-05-25,2025-05-24,P1D,TOMINE,CENTRO,291243000,291243000
2025-05-25,2025-05-24,P1D,PORCE2,Antioquia,50190000,88980000
2025-05-25,2025-05-24,P1D,GUAVIO,Oriente,433781000,676541000
2025-05-25,2025-05-24,P1D,PRADO,Centro,476650000,807440000
2025-05-25,2025-05-24,P1D,BETANIA,Centro,610429000,1065929000
2025-05-25,2025-05-24,P1D,ESMERALD,Oriente,383405000,404115000
2025-05-25,2025-05-24,P1D,SOGAMOSO,Centro,2696940000,3261570000
2025-05-25,2025-05-24,P1D,ALTOANCH,Valle,6980000,13300000
2025-05-25,2025-05-24,P1D,TRONERAS,Antioquia,22180000,30630000
2025-05-25,2025-05-24,P1D,ITUANGO,Antioquia,108050000,1407050000
2025-05-25,2025-05-24,P1D,MIEL1,Caldas,409000000,455280000
2025-05-25,2025-05-24,P1D,MUNA,Centro,11980000,12060000
2025-05-25,2025-05-24,P1D,PUNCHINA,Antioquia,43070000,57050000
2025-05-25,2025-05-24,P1D,AGREGADO,Centro,449100000,449100100
2025-05-25,2025-05-24,P1D,URRA1,Caribe,1013710000,1367720000
2025-05-25,2025-05-24,P1D,ELQUIMBO,Centro,2032241000,2497061000
2025-05-25,2025-05-24,P1D,SALVAJIN,Valle,555200000,646650000
2025-05-25,2025-05-24,P1D,NEUSA,CENTRO,95781000,95781100
2025-05-25,2025-05-24,P1D,PENOL,Antioquia,849810000,927650000
2025-05-25,2025-05-24,P1D,PLAYAS,Antioquia,47760000,67330000
2025-05-25,2025-05-24,P1D,MIRAFLOR,Antioquia,7190000,12510000
2025-07-02,2025-07-01,P1D,ALTOANCH,Valle,11890000,18210000
2025-07-02,2025-07-01,P1D,ITUANGO,Antioquia,111980000,1410980000
2025-07-02,2025-07-01,P1D,MIEL1,Caldas,355710000,401990000
2025-07-02,2025-07-01,P1D,BETANIA,Centro,721082000,1176582000
2025-07-02,2025-07-01,P1D,URRA1,Caribe,1106960000,1460970000
2025-07-02,2025-07-01,P1D,SALVAJIN,Valle,654650000,746100000
2025-07-02,2025-07-01,P1D,CHUZA,Oriente,178718000,189038000
2025-07-02,2025-07-01,P1D,RIOGRAN2,Antioquia,139040000,186680000
2025-07-02,2025-07-01,P1D,TOMINE,CENTRO,327865000,327865000
2025-07-02,2025-07-01,P1D,MUNA,Centro,11282000,11362000
2025-07-02,2025-07-01,P1D,ELQUIMBO,Centro,2235431000,2700251000
2025-07-02,2025-07-01,P1D,PORCE2,Antioquia,59970000,98760000
2025-07-02,2025-07-01,P1D,NEUSA,CENTRO,96148000,96148100
2025-07-02,2025-07-01,P1D,GUAVIO,Oriente,505237000,747997000
2025-07-02,2025-07-01,P1D,PORCE3,Antioquia,75180000,104630000
2025-07-02,2025-07-01,P1D,PUNCHINA,Antioquia,38000000,51980000
2025-07-02,2025-07-01,P1D,CALIMA1,Valle,355580000,459940000
2025-07-02,2025-07-01,P1D,SANLOREN,Antioquia,147700000,164560000
2025-07-02,2025-07-01,P1D,ESMERALD,Oriente,554234000,574944000
2025-07-02,2025-07-01,P1D,SOGAMOSO,Centro,2647160000,3211790000
2025-07-02,2025-07-01,P1D,PRADO,Centro,472160000,802950000
2025-07-02,2025-07-01,P1D,SISGA,CENTRO,85510000,85510000
2025-07-02,2025-07-01,P1D,PENOL,Antioquia,992320000,1070160000
2025-07-02,2025-07-01,P1D,TRONERAS,Antioquia,16360000,24810000
2025-07-02,2025-07-01,P1D,AGREGADO,Centro,509523000,509523100
2025-07-02,2025-07-01,P1D,PLAYAS,Antioquia,47940000,67510000
2025-07-02,2025-07-01,P1D,MIRAFLOR,Antioquia,33040000,38360000
2025-09-04,2025-09-03,P1D,ALTOANCH,Valle,9440000,15760000
2025-09-04,2025-09-03,P1D,ITUANGO,Antioquia,83400000,1382400000
2025-09-04,2025-09-03,P1D,PORCE3,Antioquia,102560000,132010000
2025-09-04,2025-09-03,P1D,PUNCHINA,Antioquia,21980000,35960000
2025-09-04,2025-09-03,P1D,BETANIA,Centro,598890000,1054390000
2025-09-04,2025-09-03,P1D,URRA1,Caribe,964950000,1318960000
2025-09-04,2025-09-03,P1D,SANLOREN,Antioquia,132950000,149810000
2025-09-04,2025-09-03,P1D,CALIMA1,Valle,374210000,478570000
2025-09-04,2025-09-03,P1D,SALVAJIN,Valle,419710000,511160000
2025-09-04,2025-09-03,P1D,ESMERALD,Oriente,557990000,578700000
2025-09-04,2025-09-03,P1D,SOGAMOSO,Centro,2556400000,3121030000
2025-09-04,2025-09-03,P1D,CHUZA,Oriente,189360000,199680000
2025-09-04,2025-09-03,P1D,SISGA,Centro,85710000,85710000
2025-09-04,2025-09-03,P1D,RIOGRAN2,Antioquia,125420000,173060000
2025-09-04,2025-09-03,P1D,PENOL,Antioquia,971650000,1049490000
2025-09-04,2025-09-03,P1D,TOMINE,Centro,402130000,402130000
2025-09-04,2025-09-03,P1D,MUNA,Centro,11980000,12060000
2025-09-04,2025-09-03,P1D,AGREGADO,Centro,11264690000,15512380000
2025-09-04,2025-09-03,P1D,ELQUIMBO,Centro,2266740000,2731560000
2025-09-04,2025-09-03,P1D,PORCE2,Antioquia,77800000,116590000
2025-09-04,2025-09-03,P1D,NEUSA,Centro,95600000,95600000
2025-09-04,2025-09-03,P1D,GUAVIO,Oriente,517570000,760330000
2025-09-04,2025-09-03,P1D,PRADO,Centro,238870000,566690000
2025-09-04,2025-09-03,P1D,PLAYAS,Antioquia,45670000,65240000
2025-09-04,2025-09-03,P1D,MIRAFLOR,Antioquia,69220000,74540000
2025-09-04,2025-09-03,P1D,MIEL1,Caldas,325870000,373880000
2025-09-04,2025-09-03,P1D,TRONERAS,Antioquia,18620000,27070000
2025-07-28,2025-07-27,P1D,ALTOANCH,Valle,8570000,14890000
2025-07-28,2025-07-27,P1D,ITUANGO,Antioquia,46050000,1345050000
2025-07-28,2025-07-27,P1D,MIEL1,Caldas,329620000,375900000
2025-07-28,2025-07-27,P1D,PORCE3,Antioquia,81940000,111390000
2025-07-28,2025-07-27,P1D,PUNCHINA,Antioquia,17380000,31360000
2025-07-28,2025-07-27,P1D,BETANIA,Centro,624859000,1080359000
2025-07-28,2025-07-27,P1D,URRA1,Caribe,986870000,1340880000
2025-07-28,2025-07-27,P1D,SANLOREN,Antioquia,144040000,160900000
2025-07-28,2025-07-27,P1D,CALIMA1,Valle,372350000,476710000
2025-07-28,2025-07-27,P1D,SALVAJIN,Valle,611960000,703410000
2025-07-28,2025-07-27,P1D,ESMERALD,Oriente,508275000,528985000
2025-07-28,2025-07-27,P1D,SOGAMOSO,Centro,2491250000,3055880000
2025-07-28,2025-07-27,P1D,CHUZA,Oriente,200047000,210367000
2025-07-28,2025-07-27,P1D,SISGA,CENTRO,92280000,92280000
2025-07-28,2025-07-27,P1D,PENOL,Antioquia,938350000,1016190000
2025-07-28,2025-07-27,P1D,TOMINE,CENTRO,377182000,377182000
2025-07-28,2025-07-27,P1D,TRONERAS,Antioquia,21430000,29880000
2025-07-28,2025-07-27,P1D,MUNA,Centro,4973000,5053000
2025-07-28,2025-07-27,P1D,AGREGADO,Centro,566715000,566715100
2025-07-28,2025-07-27,P1D,ELQUIMBO,Centro,2165721000,2630541000
2025-07-28,2025-07-27,P1D,PORCE2,Antioquia,58540000,97330000
2025-07-28,2025-07-27,P1D,NEUSA,CENTRO,97253000,97253100
2025-07-28,2025-07-27,P1D,GUAVIO,Oriente,501814000,744574000
2025-07-28,2025-07-27,P1D,PRADO,Centro,416570000,744390000
2025-07-28,2025-07-27,P1D,PLAYAS,Antioquia,45430000,65000000
2025-07-28,2025-07-27,P1D,MIRAFLOR,Antioquia,44340000,49660000
2025-07-28,2025-07-27,P1D,RIOGRAN2,Antioquia,128420000,176060000
2025-05-08,2025-05-07,P1D,ALTOANCH,Valle,27350000,33670000
2025-05-08,2025-05-07,P1D,ITUANGO,Antioquia,126380000,1425380000
2025-05-08,2025-05-07,P1D,MIEL1,Caldas,379610000,425890000
2025-05-08,2025-05-07,P1D,PORCE3,Antioquia,101560000,131010000
2025-05-08,2025-05-07,P1D,PUNCHINA,Antioquia,32600000,46580000
2025-05-08,2025-05-07,P1D,BETANIA,Centro,703368000,1158868000
2025-05-08,2025-05-07,P1D,URRA1,Caribe,1031330000,1385340000
2025-05-08,2025-05-07,P1D,SANLOREN,Antioquia,137850000,154710000
2025-05-08,2025-05-07,P1D,CALIMA1,Valle,274510000,378870000
2025-05-08,2025-05-07,P1D,SALVAJIN,Valle,543580000,635030000
2025-05-08,2025-05-07,P1D,ESMERALD,Oriente,239028000,259738000
2025-05-08,2025-05-07,P1D,SOGAMOSO,Centro,2180360000,2744990000
