Fecha,CodigoPlanta,numerador,denominador,precio_d,phi,YearMonth
2025-04-01,2QEK,6518728.513631562,13037457.027263124,113.37,113.87,2025-04
2025-04-01,3DDT,5029742.754516366,10059485.509032732,107.37,107.87,2025-04
2025-04-01,3ENA,13076570.246560253,26153140.493120506,889.28,889.78,2025-04
2025-04-01,3HF5,3521098.491056631,7042196.982113262,107.37,107.87,2025-04
2025-04-01,3INX,9801486.855493695,19602973.71098739,97.37,97.87,2025-04
2025-04-01,3IQA,8352862.069055177,16705724.138110355,93.4,93.9,2025-04
2025-04-01,3IRX,3418672.2761334036,6837344.552266807,95.37,95.87,2025-04
2025-04-01,3IZ6,3799599.206813285,7599198.41362657,95.37,95.87,2025-04
2025-04-01,ALBG,10148707.655095804,20297415.31019161,127.37,127.87,2025-04
2025-04-01,CHBG,7178552.863084438,14357105.726168877,185.37,185.87,2025-04
2025-04-01,CHVR,6000430.470636078,12000860.941272156,104.61,105.11,2025-04
2025-04-01,CLL1,15241898.111924982,30483796.223849963,94.37,94.87,2025-04
2025-04-01,CLMG,6523513.589386141,13047027.178772282,927.37,927.87,2025-04
2025-04-01,CTG1,8566468.502450062,17132937.004900124,1727.79,1728.29,2025-04
2025-04-01,CTG2,11924949.843176767,23849899.686353534,1637.4,1637.9,2025-04
2025-04-01,CUC1,8640966.693382002,17281933.386764005,104.61,105.11,2025-04
2025-04-01,DVS1,12247005.87488216,24494011.74976432,112.37,112.87,2025-04
2025-04-01,EPFV,4903256.594025709,9806513.188051417,107.37,107.87,2025-04
2025-04-01,GE32,14007948.371697254,28015896.74339451,288.92,289.42,2025-04
2025-04-01,GEC3,13076570.246560255,26153140.49312051,272.23,272.73,2025-04
2025-04-01,GTPE,7178552.863039678,14357105.726079356,104.61,105.11,2025-04
2025-04-01,GTRG,9881888.535243068,19763777.070486136,111.13,111.63,2025-04
2025-04-01,GVIO,15292411.021808384,30584822.043616768,162.37,162.87,2025-04
2025-04-01,GYPO,9748787.618387893,19497575.236775786,107.37,107.87,2025-04
2025-04-01,HMIN,15225940.420708925,30451880.84141785,94.37,94.87,2025-04
2025-04-01,HMLG,10572807.123597294,21145614.24719459,104.61,105.11,2025-04
2025-04-01,JAGS,15156786.5692379,30313573.1384758,165.37,165.87,2025-04
2025-04-01,LTSJ,12778780.971444258,25557561.942888517,104.61,105.11,2025-04
2025-04-01,MATA,3096329.1675812462,6192658.3351624925,95.37,95.87,2025-04
2025-04-01,MOY1,8363873.6864557285,16727747.372911457,111.94,112.44,2025-04
2025-04-01,MRL1,8365162.457169635,16730324.91433927,1028.13,1028.63,2025-04
2025-04-01,PES1,6949262.010037634,13898524.020075267,104.61,105.11,2025-04
2025-04-01,PGUG,6782371.155486263,13564742.310972527,104.61,105.11,2025-04
2025-04-01,PLYS,15546115.176326392,31092230.352652784,111.12,111.62,2025-04
2025-04-01,PPA1,6523513.589386141,13047027.178772282,297.98,298.48,2025-04
2025-04-01,PPA2,15340063.090750162,30680126.181500323,274.54,275.04,2025-04
2025-04-01,PPA3,15340063.090750162,30680126.181500323,285.53,286.03,2025-04
2025-04-01,PPA4,8798012.758274512,17596025.516549025,281.63,282.13,2025-04
2025-04-01,PRC2,13994231.05153025,27988462.1030605,357.37,357.87,2025-04
2025-04-01,PRC3,11082228.550587326,22164457.101174653,247.37,247.87,2025-04
2025-04-01,PRDO,15277357.66322472,30554715.32644944,104.61,105.11,2025-04
2025-04-01,QUI1,9502315.326669164,19004630.653338328,104.61,105.11,2025-04
2025-04-01,SLVJ,15225940.420708925,30451880.84141785,928.37,928.87,2025-04
2025-04-01,SMI1,8365162.457169635,16730324.91433927,104.61,105.11,2025-04
2025-04-01,SNCR,2050100.9430939283,4100201.8861878566,217.37,217.87,2025-04
2025-04-01,SNFR,865863.2638460991,1731726.5276921983,111.12,111.62,2025-04
2025-04-01,SOG1,9751409.837754456,19502819.675508913,104.61,105.11,2025-04
2025-04-01,TBQ3,15292426.944574388,30584853.889148775,1442.05,1442.55,2025-04
2025-04-01,TBQ4,8566468.502450062,17132937.004900124,1436.34,1436.84,2025-04
2025-04-01,TBST,13129269.483585812,26258538.967171624,996.97,997.47,2025-04
2025-04-01,TCDT,13994231.05153025,27988462.1030605,854.38,854.88,2025-04
2025-04-01,TDR1,6523513.589386141,13047027.178772282,2313.83,2314.33,2025-04
2025-04-01,TEC1,6523513.589386141,13047027.178772282,1422.3,1422.8,2025-04
2025-04-01,TFL1,14597216.951821683,29194433.903643366,1436.54,1437.04,2025-04
2025-04-01,TFL4,6523513.589386141,13047027.178772282,1305.77,1306.27,2025-04
2025-04-01,TGJ1,14597216.951821683,29194433.903643366,550.21,550.71,2025-04
2025-04-01,TGJ2,15241898.111924982,30483796.223849963,532.63,533.13,2025-04
2025-04-01,TPUY,4523131.1698370315,9046262.339674063,101.67,102.17,2025-04
2025-04-01,TRN1,8566468.502450062,17132937.004900124,937.37,937.87,2025-04
2025-04-01,TSJ1,13129269.483585812,26258538.967171624,310.37,310.87,2025-04
2025-04-01,TSJ2,14597216.951821683,29194433.903643366,326.37,326.87,2025-04
2025-04-01,TSR1,15225940.420708925,30451880.84141785,991.03,991.53,2025-04
2025-04-01,TVL1,13129269.483585812,26258538.967171624,1191.9,1192.4,2025-04
2025-04-01,TYP1,8566468.502450062,17132937.004900124,101.37,101.87,2025-04
2025-04-01,TYP3,13129269.483556025,26258538.96711205,101.37,101.87,2025-04
2025-04-01,TYP4,11604443.965898857,23208887.931797713,101.37,101.87,2025-04
2025-04-01,URA1,7555405.605700131,15110811.211400261,257.37,257.87,2025-04
2025-04-01,ZPA2,15292411.021808384,30584822.043616768,378.37,378.87,2025-04
2025-04-01,ZPA4,11604443.965924218,23208887.931848437,364.37,364.87,2025-04
2025-04-01,ZPA5,12831562.112662528,25663124.225325055,344.37,344.87,2025-04
2025-04-02,2QEK,5480711.353404507,10961422.706809014,112.37,112.87,2025-04
2025-04-02,3DDT,3611812.696359151,7223625.392718302,101.37,101.87,2025-04
2025-04-02,3ENA,34658960.74842302,69317921.49684604,889.28,889.78,2025-04
2025-04-02,3HF5,25845915.015773393,51691830.03154679,101.37,101.87,2025-04
2025-04-02,3INX,25898214.968710393,51796429.937420785,97.37,97.87,2025-04
2025-04-02,3IQA,27546425.067766294,55092850.13553259,93.27,93.77,2025-04
2025-04-02,3IRX,25878210.096996758,51756420.193993516,95.37,95.87,2025-04
2025-04-02,3IZ6,27546425.067766294,55092850.13553259,95.37,95.87,2025-04
2025-04-02,ALBG,9739460.205315411,19478920.410630822,157.37,157.87,2025-04
2025-04-02,CHBG,11216647.158214347,22433294.316428695,127.37,127.87,2025-04
2025-04-02,CHVR,31415379.175232027,62830758.35046405,104.61,105.11,2025-04
2025-04-02,CLL1,10719816.845722055,21439633.69144411,94.37,94.87,2025-04
2025-04-02,CLMG,32418865.04075887,64837730.08151774,927.37,927.87,2025-04
2025-04-02,CTG1,31384792.399879467,62769584.79975893,1727.79,1728.29,2025-04
2025-04-02,CTG2,35730646.83550463,71461293.67100926,1637.4,1637.9,2025-04
2025-04-02,DVS1,32325009.040756058,64650018.081512116,111.37,111.87,2025-04
2025-04-02,EPFV,3690580.4471307634,7381160.894261527,101.37,101.87,2025-04
2025-04-02,GE32,33217310.46896053,66434620.93792106,288.89,289.39,2025-04
2025-04-02,GEC3,34658960.74842302,69317921.49684604,272.09,272.59,2025-04
2025-04-02,GTPE,11229816.282032069,22459632.564064138,104.61,105.11,2025-04
2025-04-02,GTRG,31801364.262802593,63602728.52560519,457.37,457.87,2025-04
2025-04-02,GVIO,8870695.53862115,17741391.0772423,162.37,162.87,2025-04
2025-04-02,GYPO,28745686.163556416,57491372.32711283,101.37,101.87,2025-04
2025-04-02,HMIN,10137452.843856532,20274905.687713064,94.37,94.87,2025-04
2025-04-02,HMLG,29062145.1005133,58124290.2010266,104.61,105.11,2025-04
2025-04-02,JAGS,10506554.979202827,21013109.958405655,207.37,207.87,2025-04
2025-04-02,LTSJ,32716482.676121444,65432965.35224289,104.61,105.11,2025-04
2025-04-02,MATA,25878210.088612374,51756420.17722475,95.37,95.87,2025-04
2025-04-02,MOY1,32066308.748626705,64132617.49725341,111.95,112.45,2025-04
2025-04-02,MRL1,32279712.76799762,64559425.53599524,1028.13,1028.63,2025-04
2025-04-02,PES1,7449761.9901989,14899523.9803978,104.61,105.11,2025-04
2025-04-02,PGUG,32980573.266059313,65961146.532118626,104.61,105.11,2025-04
2025-04-02,PLYS,9718432.948907219,19436865.897814438,111.12,111.62,2025-04
2025-04-02,PPA1,32418865.04075887,64837730.08151774,297.98,298.48,2025-04
2025-04-02,PPA2,10124378.199228466,20248756.39845693,274.54,275.04,2025-04
2025-04-02,PPA4,32100465.80211521,64200931.60423042,281.63,282.13,2025-04
2025-04-02,PRC2,32531323.46494876,65062646.92989752,104.61,105.11,2025-04
2025-04-02,PRC3,33217310.46896053,66434620.93792106,267.37,267.87,2025-04
2025-04-02,PRDO,10124378.199228466,20248756.39845693,104.61,105.11,2025-04
2025-04-02,QUI1,11317967.229874412,22635934.459748823,104.61,105.11,2025-04
2025-04-02,SLVJ,10137452.843856532,20274905.687713064,928.37,928.87,2025-04
2025-04-02,SMI1,32110960.18338781,64221920.36677562,104.61,105.11,2025-04
2025-04-02,SNCR,28138172.926409934,56276345.85281987,104.61,105.11,2025-04
2025-04-02,SNFR,416556.69799524144,833113.3959904829,111.12,111.62,2025-04
2025-04-02,SOG1,11218681.73795105,22437363.4759021,104.61,105.11,2025-04
2025-04-02,TBQ3,11282144.508325633,22564289.016651265,1441.85,1442.35,2025-04
2025-04-02,TBQ4,31384792.399879467,62769584.79975893,1436.16,1436.66,2025-04
2025-04-02,TBST,34738130.13665563,69476260.27331126,800.05,800.55,2025-04
2025-04-02,TCDT,32531323.46494876,65062646.92989752,854.49,854.99,2025-04
2025-04-02,TDR1,32418865.04075887,64837730.08151774,2313.83,2314.33,2025-04
2025-04-02,TEC1,32418865.04075887,64837730.08151774,1422.3,1422.8,2025-04
2025-04-02,TFL1,11216104.563552145,22432209.12710429,1158.48,1158.98,2025-04
2025-04-02,TFL4,32418865.04075887,64837730.08151774,1305.77,1306.27,2025-04
2025-04-02,TGJ1,11216104.563552145,22432209.12710429,550.17,550.67,2025-04
2025-04-02,TGJ2,10137452.843856532,20274905.687713064,532.6,533.1,2025-04
2025-04-02,TPUY,3611812.696359151,7223625.392718302,101.67,102.17,2025-04
2025-04-02,TRN1,31384792.399879467,62769584.79975893,937.37,937.87,2025-04
2025-04-02,TSJ1,34738130.13665563,69476260.27331126,310.37,310.87,2025-04
2025-04-02,TSJ2,11216104.563552145,22432209.12710429,326.37,326.87,2025-04
2025-04-02,TSR1,10137452.843856532,20274905.687713064,991.03,991.53,2025-04
2025-04-02,TVL1,34738130.13665563,69476260.27331126,1191.9,1192.4,2025-04
2025-04-02,TYP1,32279712.767890245,64559425.53578049,101.37,101.87,2025-04
2025-04-02,TYP3,34738130.136521585,69476260.27304317,101.37,101.87,2025-04
2025-04-02,TYP4,32364903.26878349,64729806.53756698,101.37,101.87,2025-04
2025-04-02,URA1,32409975.52829085,64819951.0565817,257.37,257.87,2025-04
2025-04-02,ZPA2,8870695.596463555,17741391.19292711,378.37,378.87,2025-04
2025-04-02,ZPA4,33732488.94929464,67464977.89858928,364.37,364.87,2025-04
2025-04-02,ZPA5,33568348.61752571,67136697.23505142,344.37,344.87,2025-04
2025-04-03,3DDT,6984033.0157525195,13968066.031505039,101.37,101.87,2025-04
2025-04-03,3ENA,45222911.76060334,90445823.52120668,889.28,889.78,2025-04
2025-04-03,3HF5,30183175.207843665,60366350.41568733,101.37,101.87,2025-04
2025-04-03,3INX,36693913.552957036,73387827.10591407,97.37,97.87,2025-04
2025-04-03,3IQA,34750266.763416536,69500533.52683307,93.27,93.77,2025-04
2025-04-03,3IRX,30666083.87890199,61332167.75780398,95.37,95.87,2025-04
2025-04-03,3IZ6,34750266.763416536,69500533.52683307,95.37,95.87,2025-04
2025-04-03,ALBG,11657676.061643409,23315352.123286817,152.37,152.87,2025-04
2025-04-03,CHBG,12393459.191587964,24786918.38317593,127.37,127.87,2025-04
2025-04-03,CHVR,42939511.008434094,85879022.01686819,104.61,105.11,2025-04
2025-04-03,CLL1,14788521.33964426,29577042.67928852,94.37,94.87,2025-04
2025-04-03,CLMG,43042662.914221734,86085325.82844347,927.37,927.87,2025-04
2025-04-03,CTG1,38406654.9971351,76813309.9942702,1727.79,1728.29,2025-04
2025-04-03,CTG2,45432831.79206267,90865663.58412534,1637.4,1637.9,2025-04
2025-04-03,DVS1,43042662.91406956,86085325.82813913,111.37,111.87,2025-04
2025-04-03,EPFV,6134918.934962379,12269837.869924758,101.37,101.87,2025-04
2025-04-03,GE32,39931605.92813752,79863211.85627504,288.89,289.39,2025-04
2025-04-03,GEC3,45222911.76060334,90445823.52120668,272.19,272.69,2025-04
2025-04-03,GTPE,12426382.054721553,24852764.109443106,104.61,105.11,2025-04
2025-04-03,GTRG,36747030.14413748,73494060.28827496,267.37,267.87,2025-04
2025-04-03,GVIO,9985933.037959471,19971866.075918943,177.37,177.87,2025-04
2025-04-03,GYPO,36693913.552898675,73387827.10579735,101.37,101.87,2025-04
2025-04-03,HMIN,13979791.991458373,27959583.982916746,94.37,94.87,2025-04
2025-04-03,HMLG,37353692.86511159,74707385.73022318,104.61,105.11,2025-04
2025-04-03,JAGS,15946735.143860195,31893470.28772039,104.61,105.11,2025-04
2025-04-03,LTSJ,43524586.36390744,87049172.72781488,104.61,105.11,2025-04
2025-04-03,MATA,30631699.8120367,61263399.6240734,95.37,95.87,2025-04
2025-04-03,MOY1,38350680.85050508,76701361.70101015,112.17,112.67,2025-04
2025-04-03,MRL1,38406654.99726634,76813309.99453267,1028.13,1028.63,2025-04
2025-04-03,PES1,5284821.471747808,10569642.943495616,104.61,105.11,2025-04
2025-04-03,PGUG,40233039.21197023,80466078.42394046,104.61,105.11,2025-04
2025-04-03,PLYS,13768236.022607641,27536472.045215283,111.12,111.62,2025-04
2025-04-03,PPA1,43042662.914221734,86085325.82844347,297.98,298.48,2025-04
2025-04-03,PPA2,11622452.551718308,23244905.103436615,274.54,275.04,2025-04
2025-04-03,PPA4,38425020.6837051,76850041.3674102,281.63,282.13,2025-04
2025-04-03,PRC2,38951624.49383499,77903248.98766997,277.37,277.87,2025-04
2025-04-03,PRC3,39737969.998417154,79475939.99683431,104.61,105.11,2025-04
2025-04-03,PRDO,11622452.551718308,23244905.103436615,104.61,105.11,2025-04
2025-04-03,QUI1,13876504.903788878,27753009.807577755,104.61,105.11,2025-04
2025-04-03,SLVJ,13979791.99147114,27959583.98294228,928.37,928.87,2025-04
2025-04-03,SMI1,38200401.83829879,76400803.67659758,104.61,105.11,2025-04
2025-04-03,SNCR,36888375.00606082,73776750.01212163,112.37,112.87,2025-04
2025-04-03,SNFR,416556.69799524144,833113.3959904829,111.12,111.62,2025-04
2025-04-03,SOG1,12169561.190109394,24339122.38021879,104.61,105.11,2025-04
2025-04-03,TBQ3,16014555.331528438,32029110.663056877,1339.75,1340.25,2025-04
2025-04-03,TBQ4,38406654.9971351,76813309.9942702,1333.58,1334.08,2025-04
2025-04-03,TBST,45222911.760180235,90445823.52036047,750.4,750.9,2025-04
2025-04-03,TCDT,38951624.49383499,77903248.98766997,853.74,854.24,2025-04
2025-04-03,TDR1,43042662.914221734,86085325.82844347,2313.83,2314.33,2025-04
2025-04-03,TEC1,43042662.914221734,86085325.82844347,1422.3,1422.8,2025-04
2025-04-03,TFL1,16014555.331528438,32029110.663056877,1158.48,1158.98,2025-04
2025-04-03,TFL4,43042662.914221734,86085325.82844347,1305.77,1306.27,2025-04
2025-04-03,TGJ1,16014555.331528438,32029110.663056877,550.17,550.67,2025-04
2025-04-03,TGJ2,13987770.837079167,27975541.674158335,532.6,533.1,2025-04
2025-04-03,TPUY,6984033.014849797,13968066.029699594,101.67,102.17,2025-04
2025-04-03,TRN1,38406654.9971351,76813309.9942702,937.37,937.87,2025-04
2025-04-03,TSJ1,45222911.760180235,90445823.52036047,310.37,310.87,2025-04
2025-04-03,TSJ2,16014555.331536949,32029110.663073897,326.37,326.87,2025-04
2025-04-03,TSR1,13979791.99147114,27959583.98294228,993.76,994.26,2025-04
2025-04-03,TVL1,45222911.760180235,90445823.52036047,1191.9,1192.4,2025-04
2025-04-03,TYP1,38406654.9971351,76813309.9942702,101.37,101.87,2025-04
2025-04-03,TYP3,45222911.76000151,90445823.52000302,101.37,101.87,2025-04
2025-04-03,TYP4,43042662.91406956,86085325.82813913,101.37,101.87,2025-04
2025-04-03,URA1,43042662.75447155,86085325.5089431,257.37,257.87,2025-04
2025-04-03,ZPA2,9985933.052420072,19971866.104840145,378.37,378.87,2025-04
2025-04-03,ZPA4,43042662.914221734,86085325.82844347,364.37,364.87,2025-04
2025-04-03,ZPA5,44005748.71007381,88011497.42014761,344.37,344.87,2025-04
2025-04-04,3DDT,4625572.360228231,9251144.720456462,101.37,101.87,2025-04
2025-04-04,3ENA,42389771.53571348,84779543.07142696,889.28,889.78,2025-04
2025-04-04,3HF5,32927100.225817584,65854200.45163517,101.37,101.87,2025-04
2025-04-04,3INX,36895778.03141973,73791556.06283946,97.37,97.87,2025-04
2025-04-04,3IQA,34952131.24187923,69904262.48375846,93.27,93.77,2025-04
2025-04-04,3IRX,32970185.99226963,65940371.98453926,95.37,95.87,2025-04
2025-04-04,3IZ6,34952131.24187923,69904262.48375846,95.37,95.87,2025-04
2025-04-04,ALBG,6474341.346977655,12948682.69395531,104.61,105.11,2025-04
2025-04-04,CHBG,8185408.468355109,16370816.936710218,122.87,123.37,2025-04
2025-04-04,CHVR,38375489.10383533,76750978.20767066,104.61,105.11,2025-04
2025-04-04,CLL1,8535397.04877711,17070794.09755422,94.37,94.87,2025-04
2025-04-04,CLMG,38707192.58548345,77414385.1709669,927.37,927.87,2025-04
2025-04-04,CTG1,35693471.28651138,71386942.57302275,1727.79,1728.29,2025-04
2025-04-04,CTG2,42167063.665099345,84334127.33019869,1637.4,1637.9,2025-04
2025-04-04,DVS1,38778863.87098995,77557727.7419799,111.37,111.87,2025-04
2025-04-04,EPFV,3780765.7865425814,7561531.573085163,101.37,101.87,2025-04
2025-04-04,GE32,38815948.509727314,77631897.01945463,292.49,292.99,2025-04
2025-04-04,GEC3,42389771.53571348,84779543.07142696,277.25,277.75,2025-04
2025-04-04,GTPE,10733558.109241001,21467116.218482003,104.61,105.11,2025-04
2025-04-04,GTRG,35087175.90581993,70174351.81163986,111.13,111.63,2025-04
2025-04-04,GVIO,7627472.382416945,15254944.76483389,145.37,145.87,2025-04
2025-04-04,GYPO,36895778.03136137,73791556.06272274,101.37,101.87,2025-04
2025-04-04,HMIN,7734646.546212017,15469293.092424033,94.37,94.87,2025-04
2025-04-04,HMLG,34173352.64146225,68346705.2829245,104.61,105.11,2025-04
2025-04-04,JAGS,8105564.749937187,16211129.499874374,104.61,105.11,2025-04
2025-04-04,LTSJ,39293499.4127078,78586998.8254156,187.37,187.87,2025-04
2025-04-04,MATA,32970185.99226963,65940371.98453926,95.37,95.87,2025-04
2025-04-04,MOY1,35533628.847518034,71067257.69503607,111.99,112.49,2025-04
2025-04-04,MRL1,35693471.28665454,71386942.57330908,1028.13,1028.63,2025-04
2025-04-04,PES1,7607141.012032037,15214282.024064073,104.61,105.11,2025-04
2025-04-04,PGUG,36823676.93466889,73647353.86933778,104.61,105.11,2025-04
2025-04-04,PLYS,7842246.740701907,15684493.481403815,111.12,111.62,2025-04
2025-04-04,PPA1,38707192.58548345,77414385.1709669,297.98,298.48,2025-04
2025-04-04,PPA2,7371301.482459018,14742602.964918036,274.54,275.04,2025-04
2025-04-04,PPA4,35752183.62294689,71504367.24589378,281.63,282.13,2025-04
2025-04-04,PRC2,36258991.48121112,72517982.96242224,104.61,105.11,2025-04
2025-04-04,PRC3,38815948.509727314,77631897.01945463,104.61,105.11,2025-04
2025-04-04,PRDO,7444096.982692209,14888193.965384418,104.61,105.11,2025-04
2025-04-04,QUI1,6952547.691503617,13905095.383007234,104.61,105.11,2025-04
2025-04-04,SLVJ,7661851.0459788265,15323702.091957653,928.37,928.87,2025-04
2025-04-04,SMI1,35468467.84050813,70936935.68101627,104.61,105.11,2025-04
2025-04-04,SNCR,37998525.23803212,75997050.47606423,104.61,105.11,2025-04
2025-04-04,SNFR,1622281.1538047628,3244562.3076095255,111.12,111.62,2025-04
2025-04-04,SOG1,10165402.339887453,20330804.679774906,104.61,105.11,2025-04
2025-04-04,TBQ3,8112984.533560716,16225969.067121431,1329.6,1330.1,2025-04
2025-04-04,TBQ4,35693471.28651138,71386942.57302275,1323.37,1323.87,2025-04
2025-04-04,TBST,42389771.53529038,84779543.07058077,755.2,755.7,2025-04
2025-04-04,TCDT,36544192.3667218,73088384.7334436,844.44,844.94,2025-04
2025-04-04,TDR1,38707192.58548345,77414385.1709669,2313.83,2314.33,2025-04
2025-04-04,TEC1,38707192.58548345,77414385.1709669,1422.3,1422.8,2025-04
2025-04-04,TFL1,8112984.533560716,16225969.067121431,1158.48,1158.98,2025-04
2025-04-04,TFL4,38707192.58548345,77414385.1709669,1305.77,1306.27,2025-04
2025-04-04,TGJ2,7661851.0459788265,15323702.091957653,530.33,530.83,2025-04
2025-04-04,TPUY,4240107.996875878,8480215.993751757,101.67,102.17,2025-04
2025-04-04,TRN1,35693471.28651138,71386942.57302275,937.37,937.87,2025-04
2025-04-04,TSJ1,42389771.53529038,84779543.07058077,310.37,310.87,2025-04
2025-04-04,TSJ2,8112984.533560716,16225969.067121431,326.37,326.87,2025-04
2025-04-04,TSR1,7661851.0459788265,15323702.091957653,993.76,994.26,2025-04
2025-04-04,TVL1,42389771.53529038,84779543.07058077,1191.9,1192.4,2025-04
2025-04-04,TYP1,35693471.28651138,71386942.57302275,101.37,101.87,2025-04
2025-04-04,TYP3,40769142.785642095,81538285.57128419,101.37,101.87,2025-04
2025-04-04,TYP4,38707192.58533127,77414385.17066254,101.37,101.87,2025-04
2025-04-04,URA1,38778863.71140448,77557727.42280896,257.37,257.87,2025-04
2025-04-04,ZPA2,13656094.675985912,27312189.351971824,378.37,378.87,2025-04
2025-04-04,ZPA4,38707192.58548345,77414385.1709669,364.37,364.87,2025-04
2025-04-04,ZPA5,40806552.07128255,81613104.1425651,344.37,344.87,2025-04
2025-04-05,3DDT,30296647.042463772,60593294.084927544,101.37,101.87,2025-04
2025-04-05,3ENA,14355442.754068809,28710885.508137617,889.28,889.78,2025-04
2025-04-05,3HF5,32994923.55989459,65989847.11978918,101.37,101.87,2025-04
2025-04-05,3INX,8861449.250127645,17722898.50025529,97.37,97.87,2025-04
2025-04-05,3IQA,8566998.817164462,17133997.634328924,93.27,93.77,2025-04
2025-04-05,3IRX,32962210.29295107,65924420.58590214,95.37,95.87,2025-04
2025-04-05,3IZ6,8566998.817164462,17133997.634328924,95.37,95.87,2025-04
2025-04-05,ALBG,3934912.7136597764,7869825.427319553,104.61,105.11,2025-04
2025-04-05,CHBG,31874548.59681606,63749097.19363212,112.57,113.07,2025-04
2025-04-05,CHVR,12341596.352090266,24683192.70418053,104.61,105.11,2025-04
2025-04-05,CLL1,34243185.116196975,68486370.23239395,94.37,94.87,2025-04
2025-04-05,CLMG,12322060.160768671,24644120.321537342,927.37,927.87,2025-04
2025-04-05,CTG1,35761294.62070769,71522589.24141538,1727.79,1728.29,2025-04
2025-04-05,CTG2,11971128.590216083,23942257.180432167,1637.4,1637.9,2025-04
2025-04-05,DVS1,12369965.375667542,24739930.751335084,112.37,112.87,2025-04
2025-04-05,EPFV,30063924.899831932,60127849.799663864,101.37,101.87,2025-04
2025-04-05,GE32,11412609.397654077,22825218.795308154,292.49,292.99,2025-04
2025-04-05,GEC3,14355442.754068809,28710885.508137617,277.25,277.75,2025-04
2025-04-05,GTPE,34486529.00269385,68973058.0053877,104.61,105.11,2025-04
2025-04-05,GTRG,35079200.20650137,70158400.41300274,111.13,111.63,2025-04
2025-04-05,GVIO,33298547.06483486,66597094.12966972,127.37,127.87,2025-04
2025-04-05,GYPO,8861449.250117918,17722898.500235837,101.37,101.87,2025-04
2025-04-05,HMIN,34017805.659522645,68035611.31904529,94.37,94.87,2025-04
2025-04-05,HMLG,8301951.886130516,16603903.772261033,104.61,105.11,2025-04
2025-04-05,JAGS,33105857.339296196,66211714.67859239,104.61,105.11,2025-04
2025-04-05,LTSJ,9767781.097687313,19535562.195374627,187.37,187.87,2025-04
2025-04-05,MATA,32962210.29295107,65924420.58590214,95.37,95.87,2025-04
2025-04-05,MOY1,35549589.68502356,71099179.37004712,112.62,113.12,2025-04
2025-04-05,MRL1,35761294.62061225,71522589.2412245,1028.13,1028.63,2025-04
2025-04-05,PES1,8375666.281646721,16751332.563293442,104.61,105.11,2025-04
2025-04-05,PGUG,11188726.46367785,22377452.9273557,104.61,105.11,2025-04
2025-04-05,PLYS,34035884.959056504,68071769.91811301,111.12,111.62,2025-04
2025-04-05,PPA1,12322060.160768671,24644120.321537342,297.98,298.48,2025-04
2025-04-05,PPA2,31788396.613251872,63576793.226503745,274.54,275.04,2025-04
2025-04-05,PPA4,35744207.92362833,71488415.84725666,281.63,282.13,2025-04
2025-04-05,PRC2,8855652.369137887,17711304.738275774,227.37,227.87,2025-04
2025-04-05,PRC3,12682666.532878987,25365333.065757975,104.61,105.11,2025-04
2025-04-05,PRDO,31584936.050247144,63169872.10049429,104.61,105.11,2025-04
2025-04-05,QUI1,31144355.09339804,62288710.18679608,112.67,113.17,2025-04
2025-04-05,SLVJ,34017805.6596503,68035611.3193006,928.37,928.87,2025-04
2025-04-05,SMI1,35536291.174465835,71072582.34893167,104.61,105.11,2025-04
2025-04-05,SNCR,12778665.041353226,25557330.08270645,104.61,105.11,2025-04
2025-04-05,SNFR,1622281.1538047628,3244562.3076095255,111.12,111.62,2025-04
2025-04-05,SOG1,8877373.446176928,17754746.892353855,104.61,105.11,2025-04
2025-04-05,TBQ3,33784059.21597863,67568118.43195726,1308.8,1309.3,2025-04
2025-04-05,TBQ4,35761294.62070769,71522589.24141538,1302.5,1303.0,2025-04
